,STATION_NAME,coords_x,coords_y
1,18th,-9759284.802320646,5139718.458609748
3,35th/Archer,-9760562.1934775,5135451.527414589
5,35th-Bronzeville-IIT,-9754462.330659993,5135798.728109292
7,43rd,-9753704.801525144,5133525.868047127
10,47th,-9753683.094224438,5132442.584289853
11,47th,-9755031.618535908,5132608.212867213
13,51st,-9753645.35691706,5131379.433588119
15,54th/Cermak,-9769030.268255338,5138801.600373419
17,63rd,-9755032.954369796,5128161.281492622
19,69th,-9754450.976071931,5126344.848552564
21,79th,-9754382.848543566,5123666.429007203
23,87th,-9754338.877344703,5121421.509109096
25,95th/Ran Ryan,-9754297.132535655,5119483.158199904
27,Adams/Wabash,-9754485.819072548,5142947.230784657
31,Addison,-9759896.502922557,5153047.795136435
32,Addison,-9757557.012504045,5153107.66357228
33,Addison,-9764841.092064612,5153100.479340146
35,Argyle,-9758102.923286894,5157003.661317541
37,Armitage,-9757447.696764085,5148736.608811405
39,Ashland,-9758858.448670909,5136927.815107006
41,Ashland/63rd,-9758685.792140689,5127911.089147449
43,Austin,-9771270.015296906,5141653.139331026
45,Austin,-9770972.013020052,5144111.405040158
48,Belmont,-9764095.140156807,5151716.418183703
51,Belmont,-9757529.62790931,5151958.704187643
53,Berwyn,-9758118.285376625,5157682.124314023
55,Bryn Mawr,-9758137.43232904,5158508.743449116
57,California,-9762137.586911207,5139150.66984794
59,California,-9762373.138953725,5149293.44752712
61,California,-9762300.113367766,5143651.9085809225
63,Central,-9761118.234334012,5170569.2106583975
65,Central,-9770027.46714067,5144125.759987804
67,Central Park,-9764371.546452446,5139110.317626527
69,Cermak-Chinatown,-9755034.73548165,5139015.714753013
72,Cermak-McCormick Place,-9754526.45068669,5139002.114732846
75,Chicago,-9757733.787855424,5145424.672972749
77,Chicago,-9754723.931463355,5145513.80587524
78,Chicago,-9755586.434878023,5145534.593701985
81,Cicero,-9767766.123004695,5138808.578081139
82,Cicero,-9767745.862857372,5141761.222748131
84,Cicero,-9767695.10116957,5143995.669062796
86,Clark/Division,-9755084.161335563,5146597.973826784
90,Clark/Lake,-9755025.607283408,5143878.7382719
92,Clinton,-9756238.54445509,5143869.916185894
94,Clinton,-9756149.711501436,5142353.984110297
96,Conservatory,-9764558.67451647,5143754.183134126
98,Cottage Grove,-9752239.39174834,5128127.394676389
100,Cumberland,-9778084.549245305,5158619.863296726
103,Damen,-9760044.891803782,5139211.646861265
105,Damen,-9760207.640899323,5147469.106477977
106,Damen,-9760341.446927257,5155930.587427279
108,Davis,-9760887.357710108,5168128.852011956
110,Dempster,-9760671.286578478,5167221.204762769
112,Dempster-Skokie,-9768498.939212589,5166815.901872583
114,Diversey,-9757501.909356102,5150908.343800912
116,Division,-9758989.694350554,5146513.46741859
118,Forest Park,-9775779.122590978,5142162.323072231
120,Foster,-9760889.25014145,5169095.8051065095
122,Francisco,-9762902.351812957,5155894.655689922
